STAH, Instance, #departments, #ND-Points, t-MIP
STAT, S8_S8H, 8, 18, 6.796882152557373
STAT, AC_8_30_5_AC_8_30_5_1, 8, 2, 0.413135290145874
STAT, AC_8_30_20_AC_8_30_20_1, 8, 8, 0.8223059177398682
STAT, AC_8_50_5_AC_8_50_5_1, 8, 22, 8.168260097503662
STAT, AC_8_50_20_AC_8_50_20_1, 8, 16, 6.002985954284668
STAT, AC_8_70_5_AC_8_70_5_1, 8, 10, 1.489753246307373
STAT, AC_8_70_20_AC_8_70_20_1, 8, 18, 4.049309968948364
STAT, AC_12_30_5_AC_12_30_5_1, 12, 54, 1006.3728067874908
STAT, AC_12_30_20_AC_12_30_20_1, 12, 52, 908.1085331439972
STAT, AC_12_50_5_AC_12_50_5_1, 12, 47, 820.058899641037
STAT, AC_12_50_20_AC_12_50_20_1, 12, 54, 856.2087342739105
STAT, S11_SRFLP11, 11, 40, 396.5750775337219
STAT, AC_12_70_5_AC_12_70_5_1, 12, 24, 442.1023807525635
STAT, AC_12_70_20_AC_12_70_20_1, 12, 37, 706.3653273582458
STAT, AC_16_30_5_AC_16_30_5_1, 16, 13, 3599.55903506279
STAT, AC_16_30_20_AC_16_30_20_1, 16, 19, 3600.0609896183014
STAT, AC_16_50_5_AC_16_50_5_1, 16, 26, 3599.4982619285583
STAT, AC_16_50_20_AC_16_50_20_1, 16, 24, 3599.0255563259125
STAT, AC_16_70_5_AC_16_70_5_1, 16, 19, 3600.041604280472
STAT, AC_16_70_20_AC_16_70_20_1, 16, 12, 3601.096947669983
STAT, AC_20_30_5_AC_20_30_5_1, 20, 4, 3600.7420699596405
STAT, AC_20_30_20_AC_20_30_20_1, 20, 3, 3596.866009950638
STAT, H15_SRFLP15, 15, 33, 3600.0513875484467
STAT, AC_20_50_5_AC_20_50_5_1, 20, 4, 3603.379820585251
STAT, AC_20_50_20_AC_20_50_20_1, 20, 6, 3596.9435489177704
STAT, AC_20_70_5_AC_20_70_5_1, 20, 3, 3607.7087132930756
STAT, AC_20_70_20_AC_20_70_20_1, 20, 9, 3597.9118614196777
STAT, AC_4_30_5_AC_4_30_5_1, 4, 1, 0.026061058044433594
STAT, AC_4_30_20_AC_4_30_20_1, 4, 2, 0.0319674015045166
STAT, AC_4_50_5_AC_4_50_5_1, 4, 4, 0.06357789039611816
STAT, AC_4_50_20_AC_4_50_20_1, 4, 4, 0.046594858169555664
STAT, AC_4_70_5_AC_4_70_5_1, 4, 3, 0.04709506034851074
STAT, AC_4_70_20_AC_4_70_20_1, 4, 3, 0.03821754455566406
STAT, H12_SRFLP12, 12, 24, 410.7494602203369
