e	1	2	3
e	1	3	2
e	1	4	0
e	1	5	0
e	1	6	2
e	1	7	10
e	1	8	5
e	1	9	0
e	1	10	5
e	1	11	2
e	1	12	5
e	1	13	0
e	1	14	0
e	1	15	2
e	1	16	0
e	1	17	5
e	1	18	6
e	1	19	3
e	1	20	0
e	1	21	1
e	1	22	10
e	1	23	0
e	1	24	10
e	1	25	2
e	1	26	1
e	1	27	1
e	1	28	1
e	1	29	0
e	1	30	1
e	2	3	4
e	2	4	0
e	2	5	10
e	2	6	4
e	2	7	0
e	2	8	0
e	2	9	2
e	2	10	2
e	2	11	1
e	2	12	0
e	2	13	5
e	2	14	0
e	2	15	0
e	2	16	0
e	2	17	0
e	2	18	2
e	2	19	0
e	2	20	1
e	2	21	6
e	2	22	1
e	2	23	0
e	2	24	1
e	2	25	2
e	2	26	2
e	2	27	5
e	2	28	1
e	2	29	10
e	2	30	5
e	3	4	3
e	3	5	4
e	3	6	0
e	3	7	5
e	3	8	5
e	3	9	5
e	3	10	1
e	3	11	4
e	3	12	1
e	3	13	0
e	3	14	4
e	3	15	0
e	3	16	4
e	3	17	0
e	3	18	6
e	3	19	3
e	3	20	2
e	3	21	5
e	3	22	5
e	3	23	2
e	3	24	1
e	3	25	0
e	3	26	0
e	3	27	3
e	3	28	1
e	3	29	0
e	3	30	2
e	4	5	0
e	4	6	0
e	4	7	0
e	4	8	2
e	4	9	2
e	4	10	0
e	4	11	6
e	4	12	0
e	4	13	2
e	4	14	5
e	4	15	2
e	4	16	5
e	4	17	1
e	4	18	1
e	4	19	1
e	4	20	1
e	4	21	2
e	4	22	2
e	4	23	4
e	4	24	0
e	4	25	2
e	4	26	0
e	4	27	2
e	4	28	2
e	4	29	5
e	4	30	5
e	5	6	5
e	5	7	2
e	5	8	0
e	5	9	0
e	5	10	0
e	5	11	0
e	5	12	2
e	5	13	0
e	5	14	0
e	5	15	0
e	5	16	0
e	5	17	2
e	5	18	1
e	5	19	0
e	5	20	0
e	5	21	2
e	5	22	0
e	5	23	5
e	5	24	1
e	5	25	0
e	5	26	2
e	5	27	1
e	5	28	0
e	5	29	2
e	5	30	1
e	6	7	1
e	6	8	2
e	6	9	2
e	6	10	1
e	6	11	4
e	6	12	10
e	6	13	10
e	6	14	2
e	6	15	5
e	6	16	5
e	6	17	0
e	6	18	5
e	6	19	0
e	6	20	0
e	6	21	0
e	6	22	10
e	6	23	0
e	6	24	0
e	6	25	0
e	6	26	4
e	6	27	0
e	6	28	10
e	6	29	1
e	6	30	1
e	7	8	10
e	7	9	10
e	7	10	5
e	7	11	10
e	7	12	10
e	7	13	6
e	7	14	0
e	7	15	0
e	7	16	10
e	7	17	2
e	7	18	1
e	7	19	10
e	7	20	1
e	7	21	5
e	7	22	5
e	7	23	2
e	7	24	3
e	7	25	5
e	7	26	0
e	7	27	2
e	7	28	0
e	7	29	1
e	7	30	3
e	8	9	1
e	8	10	3
e	8	11	5
e	8	12	0
e	8	13	0
e	8	14	0
e	8	15	2
e	8	16	4
e	8	17	5
e	8	18	2
e	8	19	10
e	8	20	6
e	8	21	0
e	8	22	5
e	8	23	5
e	8	24	2
e	8	25	5
e	8	26	0
e	8	27	5
e	8	28	5
